NAICS2_NAME,SALARY_FROM
Information,187200
Information,104740
Information,104740
Finance and Insurance,90300
Health Care and Social Assistance,80995
Finance and Insurance,62400
Information,104740
Information,71200
Finance and Insurance,106714
Information,154800
Finance and Insurance,86840
Finance and Insurance,200000
Finance and Insurance,66900
Finance and Insurance,105600
Finance and Insurance,200000
Finance and Insurance,122100
Finance and Insurance,65000
Information,41600
Health Care and Social Assistance,153500
Finance and Insurance,109600
Finance and Insurance,100000
Information,112000
Health Care and Social Assistance,79269
Finance and Insurance,66450
Finance and Insurance,92114
Finance and Insurance,125760
Information,118000
Finance and Insurance,110000
Finance and Insurance,87360
Information,142000
Health Care and Social Assistance,90459
Finance and Insurance,65000
Health Care and Social Assistance,90459
Health Care and Social Assistance,75000
Finance and Insurance,139700
Health Care and Social Assistance,110926
Health Care and Social Assistance,120200
Finance and Insurance,76900
Health Care and Social Assistance,65000
Health Care and Social Assistance,60320
Finance and Insurance,88800
Finance and Insurance,60500
Finance and Insurance,80000
Finance and Insurance,54373
Finance and Insurance,44937
Finance and Insurance,65792
Finance and Insurance,44937
Finance and Insurance,54373
Information,100000
Information,119443
Health Care and Social Assistance,58500
Information,59000
Finance and Insurance,87280
Health Care and Social Assistance,93204
Information,110000
Health Care and Social Assistance,315175
Information,66700
Information,94420
Information,128310
Finance and Insurance,83000
Health Care and Social Assistance,55000
Health Care and Social Assistance,85238
Finance and Insurance,95000
Information,27040
Information,62400
Information,62400
Information,62400
Information,119443
Information,199500
Finance and Insurance,188330
Information,51709
Health Care and Social Assistance,122387
Information,65000
Information,65000
Information,65000
Finance and Insurance,138230
Information,77600
Information,250553
Information,183695
Finance and Insurance,31200
Finance and Insurance,31200
Finance and Insurance,31200
Finance and Insurance,31200
Information,63003
Finance and Insurance,62000
Finance and Insurance,79310
Finance and Insurance,77280
Information,192000
Information,75000
Information,71200
Finance and Insurance,85000
Finance and Insurance,95000
Finance and Insurance,95000
Finance and Insurance,41600
Finance and Insurance,60500
Finance and Insurance,60500
Information,60200
Finance and Insurance,69050
Finance and Insurance,67000
Health Care and Social Assistance,82000
Information,62000
Health Care and Social Assistance,65832
Information,48194
Information,129000
Information,104000
Finance and Insurance,110760
Health Care and Social Assistance,55000
Finance and Insurance,66450
Finance and Insurance,105301
Finance and Insurance,144400
Finance and Insurance,105301
Finance and Insurance,160000
Finance and Insurance,41600
Finance and Insurance,71500
Information,174000
Finance and Insurance,41600
Finance and Insurance,41600
Finance and Insurance,105301
Finance and Insurance,41600
Information,109400
Finance and Insurance,105301
Finance and Insurance,73528
Information,94420
Information,94420
Finance and Insurance,73528
Finance and Insurance,70000
Finance and Insurance,70000
Information,94420
Information,94420
Finance and Insurance,89045
Finance and Insurance,76900
Information,94420
Finance and Insurance,90000
Information,90129
Information,94420
Information,94420
Finance and Insurance,111626
Finance and Insurance,153500
Finance and Insurance,71500
Health Care and Social Assistance,70715
Finance and Insurance,136800
Finance and Insurance,90300
Finance and Insurance,90300
Information,104740
Information,37440
Health Care and Social Assistance,141440
Health Care and Social Assistance,166400
Finance and Insurance,58760
Information,88500
Health Care and Social Assistance,84300
Finance and Insurance,123000
Information,94420
Finance and Insurance,115300
Finance and Insurance,141440
Finance and Insurance,90000
Finance and Insurance,118800
Finance and Insurance,95285
Health Care and Social Assistance,52270
Information,87000
Information,150000
Finance and Insurance,117000
Finance and Insurance,88000
Health Care and Social Assistance,70000
Health Care and Social Assistance,71700
Finance and Insurance,68640
Finance and Insurance,101000
Information,71200
Finance and Insurance,90000
Information,76700
Finance and Insurance,89990
Finance and Insurance,55000
Finance and Insurance,66800
Health Care and Social Assistance,80900
Health Care and Social Assistance,55000
Finance and Insurance,88000
Information,180835
Information,180835
Finance and Insurance,139500
Finance and Insurance,81770
Information,180835
Information,180835
Information,180835
Information,180835
Finance and Insurance,139500
Information,180835
Finance and Insurance,84000
Information,180835
Information,180835
Information,180835
Finance and Insurance,53000
Finance and Insurance,113840
Information,119443
Health Care and Social Assistance,33280
Information,90000
Finance and Insurance,85000
Information,135200
Health Care and Social Assistance,90459
Finance and Insurance,76000
Finance and Insurance,92000
Finance and Insurance,116280
Health Care and Social Assistance,84531
Finance and Insurance,74000
Information,104740
Finance and Insurance,70700
Finance and Insurance,60000
Information,55000
Finance and Insurance,176720
Finance and Insurance,74000
Information,41990
Finance and Insurance,130570
Finance and Insurance,90300
Finance and Insurance,65000
Information,118000
Finance and Insurance,52000
Finance and Insurance,153500
Health Care and Social Assistance,68208
Information,70000
Finance and Insurance,104700
Health Care and Social Assistance,33280
Health Care and Social Assistance,95888
Information,65000
Finance and Insurance,183100
Finance and Insurance,70000
Information,65000
Finance and Insurance,83200
Finance and Insurance,68000
Information,65000
Health Care and Social Assistance,77402
Information,45790
Finance and Insurance,176720
Finance and Insurance,88000
Information,80000
Finance and Insurance,62057
Information,117000
Health Care and Social Assistance,54614
Health Care and Social Assistance,27300
Information,70500
Finance and Insurance,125200
Finance and Insurance,60000
Information,136038
Information,104740
Finance and Insurance,74000
Finance and Insurance,105600
Information,104740
Finance and Insurance,74000
Information,104740
Finance and Insurance,88000
Information,104740
Finance and Insurance,143418
Finance and Insurance,102340
Information,94420
Finance and Insurance,73000
Information,206000
Finance and Insurance,73000
Finance and Insurance,102340
Information,94420
Information,94420
Information,94420
Finance and Insurance,102340
Finance and Insurance,71500
Information,131748
Finance and Insurance,50000
Health Care and Social Assistance,27300
Health Care and Social Assistance,68182
Health Care and Social Assistance,85000
Health Care and Social Assistance,57060
Finance and Insurance,104800
Finance and Insurance,61600
Health Care and Social Assistance,97885
Finance and Insurance,90000
Health Care and Social Assistance,75000
Information,71200
Health Care and Social Assistance,83600
Information,58240
Finance and Insurance,68640
Finance and Insurance,45000
Information,100000
Health Care and Social Assistance,113100
Finance and Insurance,60000
Finance and Insurance,91100
Information,113000
Finance and Insurance,52500
Finance and Insurance,77280
Information,180835
Finance and Insurance,130880
Finance and Insurance,115300
Finance and Insurance,142320
Information,180835
Information,180835
Information,180835
Information,180835
Finance and Insurance,115300
Information,118000
Finance and Insurance,170000
Information,180835
Information,180835
Finance and Insurance,104800
Information,129806
Health Care and Social Assistance,60000
Finance and Insurance,88430
Finance and Insurance,81770
Finance and Insurance,137000
Health Care and Social Assistance,45760
Finance and Insurance,95000
Information,189098
Finance and Insurance,67000
Finance and Insurance,59100
Finance and Insurance,88000
Finance and Insurance,85010
Information,129806
Finance and Insurance,52000
Health Care and Social Assistance,82000
Finance and Insurance,81770
Finance and Insurance,92000
Finance and Insurance,142320
Finance and Insurance,122000
Finance and Insurance,112400
Finance and Insurance,109130
Information,63003
Finance and Insurance,88000
Health Care and Social Assistance,66560
Finance and Insurance,78800
Finance and Insurance,78800
Health Care and Social Assistance,68578
Information,56160
Health Care and Social Assistance,67000
Health Care and Social Assistance,60944
Information,100800
Health Care and Social Assistance,48921
Health Care and Social Assistance,65000
Finance and Insurance,61110
Health Care and Social Assistance,70000
Finance and Insurance,124000
Finance and Insurance,163600
Finance and Insurance,91100
Finance and Insurance,91100
Finance and Insurance,91100
Information,122300
Finance and Insurance,20800
Finance and Insurance,114080
Finance and Insurance,91100
Health Care and Social Assistance,50000
Health Care and Social Assistance,67200
Finance and Insurance,70200
Information,96250
Health Care and Social Assistance,31200
Information,146000
Finance and Insurance,138230
Finance and Insurance,60000
Health Care and Social Assistance,44000
Finance and Insurance,45760
Information,80000
Information,112000
Finance and Insurance,45760
Finance and Insurance,31200
Information,242585
Finance and Insurance,31200
Finance and Insurance,138230
Finance and Insurance,31200
Finance and Insurance,31200
Finance and Insurance,31200
Finance and Insurance,40895
Information,55000
Finance and Insurance,31200
Finance and Insurance,153500
Information,136038
Finance and Insurance,136120
Information,128310
Finance and Insurance,46000
Finance and Insurance,91100
Health Care and Social Assistance,31200
Health Care and Social Assistance,71718
Health Care and Social Assistance,64700
Health Care and Social Assistance,71718
Finance and Insurance,120550
Finance and Insurance,120550
Finance and Insurance,135700
Information,111000
Finance and Insurance,99750
Finance and Insurance,70200
Finance and Insurance,62000
Finance and Insurance,58760
Information,148076
Finance and Insurance,115300
Information,141300
Finance and Insurance,86840
Health Care and Social Assistance,27300
Information,147200
Finance and Insurance,92114
Finance and Insurance,90000
Health Care and Social Assistance,41600
Health Care and Social Assistance,75795
Finance and Insurance,113840
Information,78780
Finance and Insurance,159000
Health Care and Social Assistance,58240
Finance and Insurance,124800
Health Care and Social Assistance,89461
Information,134000
Health Care and Social Assistance,51480
Finance and Insurance,87360
Health Care and Social Assistance,80000
Information,117000
Information,50000
Finance and Insurance,81770
Information,86900
Information,86900
Finance and Insurance,115000
Health Care and Social Assistance,99902
Finance and Insurance,63300
Information,41000
Health Care and Social Assistance,56160
Finance and Insurance,91100
Finance and Insurance,122304
Finance and Insurance,145180
Finance and Insurance,86700
Finance and Insurance,88200
Health Care and Social Assistance,50000
Health Care and Social Assistance,72155
Information,116900
Health Care and Social Assistance,90500
Finance and Insurance,82000
Finance and Insurance,99160
Finance and Insurance,100612
Finance and Insurance,81770
Information,93496
Finance and Insurance,76900
Health Care and Social Assistance,140000
Health Care and Social Assistance,94000
Information,75700
Finance and Insurance,58000
Finance and Insurance,95285
Finance and Insurance,90300
Finance and Insurance,139500
Finance and Insurance,110000
Information,114400
Information,82227
Information,45323
Finance and Insurance,163600
Health Care and Social Assistance,95992
Finance and Insurance,74000
Finance and Insurance,74000
Information,87166
Finance and Insurance,77490
Information,77800
Finance and Insurance,70200
Finance and Insurance,82200
Finance and Insurance,124800
Health Care and Social Assistance,27300
Finance and Insurance,148000
Information,97400
Finance and Insurance,61600
Health Care and Social Assistance,62000
Finance and Insurance,78800
Finance and Insurance,78800
Information,111480
Information,111480
Finance and Insurance,112400
Finance and Insurance,112400
Finance and Insurance,112400
Finance and Insurance,73300
Information,206000
Finance and Insurance,68200
Information,104000
Finance and Insurance,126785
Finance and Insurance,105600
Finance and Insurance,89990
Finance and Insurance,66000
Finance and Insurance,92114
Health Care and Social Assistance,78915
Information,86555
Information,69992
Information,104000
Finance and Insurance,68200
Finance and Insurance,68200
Finance and Insurance,104800
Information,80000
Information,117000
Finance and Insurance,41101
Health Care and Social Assistance,40000
Information,65000
Information,49920
Information,65000
Health Care and Social Assistance,61027
Finance and Insurance,129840
Finance and Insurance,93100
Health Care and Social Assistance,72342
Finance and Insurance,41860
Finance and Insurance,36400
Finance and Insurance,121770
Finance and Insurance,121770
Finance and Insurance,104700
Health Care and Social Assistance,40830
Finance and Insurance,81770
Finance and Insurance,70000
Finance and Insurance,55000
Finance and Insurance,153500
Finance and Insurance,100800
Finance and Insurance,141440
Health Care and Social Assistance,67400
Finance and Insurance,99160
Finance and Insurance,109130
Information,128000
Finance and Insurance,136200
Finance and Insurance,70700
Information,52000
Finance and Insurance,88000
Finance and Insurance,100000
Finance and Insurance,77200
Finance and Insurance,88000
Finance and Insurance,77200
Health Care and Social Assistance,90000
Finance and Insurance,77200
Finance and Insurance,91100
Information,100000
Health Care and Social Assistance,54000
Health Care and Social Assistance,28579
Information,106000
Finance and Insurance,81770
Information,106000
Finance and Insurance,197600
Information,88500
Finance and Insurance,160451
Finance and Insurance,85000
Health Care and Social Assistance,98900
Finance and Insurance,200000
Finance and Insurance,200000
Information,119443
Information,59000
Information,91350
Information,115200
Finance and Insurance,56500
Information,134600
Finance and Insurance,86600
Information,328600
Health Care and Social Assistance,67400
Finance and Insurance,150000
Finance and Insurance,142320
Finance and Insurance,68200
Finance and Insurance,109130
Finance and Insurance,176720
Finance and Insurance,60008
Finance and Insurance,71300
Information,111480
Information,83000
Finance and Insurance,95455
Information,130000
Information,179938
Health Care and Social Assistance,44304
Finance and Insurance,121000
Information,250553
Health Care and Social Assistance,59613
Information,77600
Finance and Insurance,52000
Finance and Insurance,171000
Finance and Insurance,59100
Information,117000
Information,117000
Finance and Insurance,104800
Information,73600
Information,117000
Information,41309
Finance and Insurance,99700
Health Care and Social Assistance,37440
Finance and Insurance,99700
Finance and Insurance,95000
Finance and Insurance,53000
Finance and Insurance,103200
Health Care and Social Assistance,68400
Finance and Insurance,120550
Finance and Insurance,84000
Information,146000
Finance and Insurance,84000
Health Care and Social Assistance,85238
Finance and Insurance,150000
Finance and Insurance,74000
Health Care and Social Assistance,67400
Finance and Insurance,115300
Finance and Insurance,55341
Finance and Insurance,56000
Finance and Insurance,85000
Health Care and Social Assistance,49920
Finance and Insurance,77500
Information,130000
Information,206000
Finance and Insurance,175000
Information,127965
Health Care and Social Assistance,133000
Information,206000
Health Care and Social Assistance,83600
Finance and Insurance,136200
Finance and Insurance,145180
Finance and Insurance,74000
Finance and Insurance,154000
Information,87166
Information,87166
Information,157200
Health Care and Social Assistance,39520
Information,250553
Finance and Insurance,45760
Finance and Insurance,109130
Information,166400
Finance and Insurance,195790
Finance and Insurance,73300
Information,51709
Finance and Insurance,87135
Finance and Insurance,87135
Finance and Insurance,115300
Health Care and Social Assistance,53560
Finance and Insurance,87135
Finance and Insurance,87135
Information,156000
Finance and Insurance,45760
Finance and Insurance,110760
Health Care and Social Assistance,42271
Finance and Insurance,45760
Finance and Insurance,45760
Finance and Insurance,87027
Finance and Insurance,105301
Finance and Insurance,105301
Finance and Insurance,41600
Health Care and Social Assistance,31200
Finance and Insurance,41600
Finance and Insurance,41600
Information,66700
Health Care and Social Assistance,24960
Finance and Insurance,96471
Finance and Insurance,66977
Finance and Insurance,50000
Finance and Insurance,94200
Information,224000
Finance and Insurance,54000
Information,62400
Finance and Insurance,90000
Finance and Insurance,183000
Finance and Insurance,54080
Information,101080
Finance and Insurance,93100
Health Care and Social Assistance,50913
Health Care and Social Assistance,54024
Finance and Insurance,54940
Finance and Insurance,54940
Information,126000
Finance and Insurance,68200
Finance and Insurance,102500
Information,126000
Information,116900
Health Care and Social Assistance,88000
Health Care and Social Assistance,27300
Finance and Insurance,41600
Finance and Insurance,41600
Information,130133
Finance and Insurance,41600
Finance and Insurance,125760
Health Care and Social Assistance,120200
Finance and Insurance,81770
Finance and Insurance,113840
Information,41990
Finance and Insurance,88000
Information,55500
Finance and Insurance,61110
Finance and Insurance,142320
Finance and Insurance,35000
Health Care and Social Assistance,65190
Information,120000
Finance and Insurance,60000
Finance and Insurance,104700
Health Care and Social Assistance,149275
Finance and Insurance,58240
Finance and Insurance,95000
Finance and Insurance,85247
Information,267600
Finance and Insurance,59100
Health Care and Social Assistance,51824
Information,87166
Finance and Insurance,74000
Finance and Insurance,74000
Information,87166
Health Care and Social Assistance,78840
Finance and Insurance,71441
Health Care and Social Assistance,70000
Finance and Insurance,86840
Finance and Insurance,86840
Information,110800
Information,80080
Information,77600
Information,180393
Finance and Insurance,71000
Information,94420
Finance and Insurance,41600
Finance and Insurance,132678
Health Care and Social Assistance,156000
Information,104500
Health Care and Social Assistance,27300
Health Care and Social Assistance,90459
Health Care and Social Assistance,90459
Health Care and Social Assistance,67400
Finance and Insurance,68640
Information,129200
Health Care and Social Assistance,99200
Finance and Insurance,98000
Finance and Insurance,92000
Finance and Insurance,81770
Finance and Insurance,96000
Finance and Insurance,125760
Finance and Insurance,102340
Finance and Insurance,105600
Finance and Insurance,92114
Finance and Insurance,80000
Information,86900
Finance and Insurance,110000
Finance and Insurance,84000
Finance and Insurance,90000
Finance and Insurance,67958
Finance and Insurance,176000
Finance and Insurance,118800
Finance and Insurance,100000
Information,103800
Health Care and Social Assistance,41600
Health Care and Social Assistance,57762
Finance and Insurance,81770
Finance and Insurance,75000
Health Care and Social Assistance,37440
Finance and Insurance,84700
Finance and Insurance,48400
Finance and Insurance,84320
Finance and Insurance,76000
Finance and Insurance,136200
Finance and Insurance,74240
Finance and Insurance,73000
Finance and Insurance,127000
Information,48194
Information,135000
Information,48194
Health Care and Social Assistance,110000
Health Care and Social Assistance,40000
Finance and Insurance,142320
Information,64200
Finance and Insurance,74000
Information,87166
Information,87166
Information,100300
Health Care and Social Assistance,59987
Finance and Insurance,74000
Finance and Insurance,93440
Finance and Insurance,65000
Information,63232
Finance and Insurance,69360
Health Care and Social Assistance,71510
Information,103800
Finance and Insurance,95264
Information,67000
Health Care and Social Assistance,83600
Information,216118
Finance and Insurance,77200
Information,106000
Health Care and Social Assistance,57200
Information,132200
Information,106000
Information,110000
Finance and Insurance,88050
Health Care and Social Assistance,118800
Finance and Insurance,90000
Health Care and Social Assistance,125000
Health Care and Social Assistance,71718
Health Care and Social Assistance,71718
Information,88500
Finance and Insurance,120550
Finance and Insurance,120550
Finance and Insurance,79135
Finance and Insurance,48600
Finance and Insurance,150000
Information,126600
Finance and Insurance,135000
Finance and Insurance,77200
Finance and Insurance,84000
Information,138500
Finance and Insurance,84000
Finance and Insurance,67000
Finance and Insurance,67000
Finance and Insurance,44937
Finance and Insurance,67000
Finance and Insurance,61600
Finance and Insurance,68640
Health Care and Social Assistance,72400
Finance and Insurance,88500
Finance and Insurance,70200
Finance and Insurance,69050
Finance and Insurance,120550
Health Care and Social Assistance,370275
Health Care and Social Assistance,90459
Health Care and Social Assistance,90459
Finance and Insurance,106000
Finance and Insurance,183000
Information,135000
Finance and Insurance,69000
Health Care and Social Assistance,65104
Health Care and Social Assistance,81494
Health Care and Social Assistance,81494
Finance and Insurance,59100
Finance and Insurance,71500
Finance and Insurance,87360
Finance and Insurance,96400
Finance and Insurance,281400
Health Care and Social Assistance,37440
Information,86000
Finance and Insurance,89990
Health Care and Social Assistance,99200
Finance and Insurance,216750
Finance and Insurance,41600
Information,141000
Information,120443
Finance and Insurance,153920
Information,166549
Finance and Insurance,88500
Finance and Insurance,84000
Finance and Insurance,71986
Finance and Insurance,90300
Information,104740
Finance and Insurance,59100
Finance and Insurance,90300
Finance and Insurance,153500
Information,185000
Health Care and Social Assistance,110926
Health Care and Social Assistance,104000
Health Care and Social Assistance,99200
Health Care and Social Assistance,98900
Finance and Insurance,84000
Finance and Insurance,73300
Finance and Insurance,100500
Information,77800
Finance and Insurance,200000
Finance and Insurance,126000
Finance and Insurance,95000
Finance and Insurance,88430
Finance and Insurance,200000
Information,235745
Health Care and Social Assistance,75020
Information,235745
Finance and Insurance,152400
Health Care and Social Assistance,80000
Information,201300
Information,312200
Information,235745
Information,95576
Information,133600
Finance and Insurance,59100
Finance and Insurance,99750
Finance and Insurance,99750
Finance and Insurance,70200
Information,180700
Finance and Insurance,92114
Health Care and Social Assistance,90459
Health Care and Social Assistance,169400
Health Care and Social Assistance,90459
Health Care and Social Assistance,169400
Health Care and Social Assistance,90459
Finance and Insurance,115300
Information,94420
Finance and Insurance,110000
Information,118000
Information,136100
Health Care and Social Assistance,65000
Finance and Insurance,54373
Finance and Insurance,85500
Finance and Insurance,91100
Health Care and Social Assistance,70000
Finance and Insurance,91100
Finance and Insurance,55619
Finance and Insurance,120400
Finance and Insurance,95285
Finance and Insurance,145180
Information,157200
Finance and Insurance,78800
Finance and Insurance,81770
Finance and Insurance,78800
Finance and Insurance,78800
Information,111480
Finance and Insurance,87027
Finance and Insurance,153500
Information,20000
Health Care and Social Assistance,49920
Finance and Insurance,101000
Health Care and Social Assistance,61340
Finance and Insurance,108375
Finance and Insurance,102500
Health Care and Social Assistance,80544
Health Care and Social Assistance,51085
Finance and Insurance,125760
Finance and Insurance,73300
Information,90100
Finance and Insurance,113840
Information,88500
Finance and Insurance,96283
Finance and Insurance,61110
Finance and Insurance,99160
Finance and Insurance,71247
Finance and Insurance,124800
Health Care and Social Assistance,62400
Finance and Insurance,59000
Information,186949
Finance and Insurance,20800
Health Care and Social Assistance,60320
Information,91350
Finance and Insurance,47000
Finance and Insurance,50000
Health Care and Social Assistance,27300
Finance and Insurance,50000
Finance and Insurance,34500
Health Care and Social Assistance,104458
Health Care and Social Assistance,104458
Health Care and Social Assistance,104458
Health Care and Social Assistance,104458
Health Care and Social Assistance,104458
Health Care and Social Assistance,104458
Health Care and Social Assistance,104458
Information,104740
Health Care and Social Assistance,70346
Finance and Insurance,74000
Information,104740
Information,104740
Information,104740
Finance and Insurance,60000
Finance and Insurance,106000
Finance and Insurance,91062
Finance and Insurance,42910
Information,112000
Information,121805
Health Care and Social Assistance,82000
Finance and Insurance,131040
Information,135000
Finance and Insurance,41600
Finance and Insurance,105301
Finance and Insurance,41600
Information,128310
Finance and Insurance,105301
Finance and Insurance,41600
Finance and Insurance,100800
Finance and Insurance,41600
Information,104374
Finance and Insurance,41600
Finance and Insurance,127320
Finance and Insurance,115300
Information,86900
Finance and Insurance,170000
Information,111480
Information,111480
Finance and Insurance,57700
Finance and Insurance,115000
Information,111480
Finance and Insurance,112400
Information,111480
Information,111480
Finance and Insurance,85000
Health Care and Social Assistance,72400
Finance and Insurance,170000
Information,63003
Finance and Insurance,84000
Finance and Insurance,67000
Finance and Insurance,67000
Finance and Insurance,96326
Finance and Insurance,67000
Finance and Insurance,67000
Health Care and Social Assistance,46509
Health Care and Social Assistance,51824
Finance and Insurance,67000
Finance and Insurance,44937
Finance and Insurance,67000
Information,151800
Finance and Insurance,95000
Finance and Insurance,109400
Finance and Insurance,75500
Health Care and Social Assistance,50000
Finance and Insurance,84000
Health Care and Social Assistance,29120
Information,136038
Information,110100
Information,87500
Finance and Insurance,85500
Information,86030
Finance and Insurance,86600
Health Care and Social Assistance,67400
Finance and Insurance,89186
Finance and Insurance,41600
Finance and Insurance,66560
Information,100000
Finance and Insurance,50000
Health Care and Social Assistance,62400
Finance and Insurance,90000
Health Care and Social Assistance,133900
Health Care and Social Assistance,81494
Health Care and Social Assistance,84000
Finance and Insurance,79350
Finance and Insurance,145180
Finance and Insurance,104400
Finance and Insurance,58650
Finance and Insurance,90100
Information,50000
Information,100000
Finance and Insurance,91260
Information,154000
Health Care and Social Assistance,77000
Finance and Insurance,81770
Health Care and Social Assistance,41038
Finance and Insurance,58300
Finance and Insurance,274800
Finance and Insurance,45000
Information,94420
Information,206000
Information,94420
Finance and Insurance,102340
Information,206000
Finance and Insurance,81770
Finance and Insurance,197500
Finance and Insurance,72200
Finance and Insurance,70232
Health Care and Social Assistance,51278
Finance and Insurance,67000
Information,109500
Finance and Insurance,67000
Finance and Insurance,96326
Finance and Insurance,169100
Information,154800
Finance and Insurance,67000
Health Care and Social Assistance,92310
Finance and Insurance,176720
Finance and Insurance,154000
Finance and Insurance,115300
Information,235745
Information,118000
Finance and Insurance,156000
Health Care and Social Assistance,113817
Finance and Insurance,60500
Finance and Insurance,101000
Information,108900
Information,180000
Information,71200
Finance and Insurance,101000
Finance and Insurance,93700
Finance and Insurance,71247
Information,88500
Information,80600
Finance and Insurance,86600
Finance and Insurance,85000
Finance and Insurance,122304
Health Care and Social Assistance,35360
Finance and Insurance,43680
Health Care and Social Assistance,93714
Finance and Insurance,85500
Health Care and Social Assistance,70000
Information,122400
Health Care and Social Assistance,63565
Health Care and Social Assistance,48755
Information,65000
Health Care and Social Assistance,80000
Information,65000
Finance and Insurance,121030
Information,65000
Finance and Insurance,63300
Health Care and Social Assistance,59000
Health Care and Social Assistance,59570
Health Care and Social Assistance,54059
Finance and Insurance,67000
Information,113000
Finance and Insurance,132300
Information,130000
Health Care and Social Assistance,67400
Health Care and Social Assistance,67771
Information,127965
Information,88500
Information,114200
Health Care and Social Assistance,57060
Finance and Insurance,70200
Finance and Insurance,145600
Health Care and Social Assistance,67400
Information,88500
Health Care and Social Assistance,70204
Health Care and Social Assistance,62815
Finance and Insurance,78200
Health Care and Social Assistance,110926
Health Care and Social Assistance,90459
Health Care and Social Assistance,90459
Finance and Insurance,119401
Finance and Insurance,53055
Health Care and Social Assistance,110926
Finance and Insurance,41660
Information,164700
Finance and Insurance,72200
Finance and Insurance,123202
Information,250553
Finance and Insurance,49930
Finance and Insurance,67500
Health Care and Social Assistance,90397
Information,122000
Finance and Insurance,75000
Finance and Insurance,173500
Health Care and Social Assistance,155293
Information,80000
Finance and Insurance,87280
Finance and Insurance,113840
Information,106100
Finance and Insurance,95264
Health Care and Social Assistance,111571
Information,165360
Information,105600
Health Care and Social Assistance,41299
Finance and Insurance,67000
Health Care and Social Assistance,110864
Finance and Insurance,67000
Finance and Insurance,96326
Finance and Insurance,89752
Finance and Insurance,104700
Finance and Insurance,150000
Finance and Insurance,123165
Information,50000
Finance and Insurance,86840
Information,140000
Health Care and Social Assistance,72051
Information,154800
Finance and Insurance,103784
Information,104740
Health Care and Social Assistance,104500
Finance and Insurance,125000
Information,127050
Finance and Insurance,87280
Finance and Insurance,59100
Information,124800
Information,87166
Information,87166
Finance and Insurance,69383
Information,96250
Health Care and Social Assistance,57060
Health Care and Social Assistance,64700
Information,66700
Health Care and Social Assistance,57060
Finance and Insurance,107571
Finance and Insurance,200000
Information,218888
Health Care and Social Assistance,72134
Information,218888
Health Care and Social Assistance,86320
Finance and Insurance,152400
Finance and Insurance,84000
Health Care and Social Assistance,54018
Finance and Insurance,152400
Finance and Insurance,73528
Information,156000
Information,108000
Finance and Insurance,114400
Finance and Insurance,46000
Finance and Insurance,62400
Health Care and Social Assistance,67771
Finance and Insurance,60000
Health Care and Social Assistance,28579
Finance and Insurance,126000
Finance and Insurance,67500
Finance and Insurance,41600
Health Care and Social Assistance,62000
Finance and Insurance,41600
Information,86900
Finance and Insurance,87823
Information,62400
Information,62400
Health Care and Social Assistance,28579
Finance and Insurance,72800
Finance and Insurance,68200
Information,134600
Health Care and Social Assistance,294775
Finance and Insurance,65000
Health Care and Social Assistance,119995
Information,58900
Health Care and Social Assistance,81494
Finance and Insurance,86600
Finance and Insurance,68640
Information,88500
Finance and Insurance,86600
Finance and Insurance,124800
Finance and Insurance,145180
Finance and Insurance,86600
Finance and Insurance,55000
Finance and Insurance,110000
Finance and Insurance,41600
Finance and Insurance,41600
Finance and Insurance,41600
Finance and Insurance,95000
Finance and Insurance,93000
Information,166000
Information,117000
Information,117000
Finance and Insurance,102000
Health Care and Social Assistance,62400
Information,117000
Information,117000
Information,117000
Finance and Insurance,113840
Health Care and Social Assistance,69597
Finance and Insurance,89990
Health Care and Social Assistance,78915
Finance and Insurance,120000
Finance and Insurance,105600
Finance and Insurance,96944
Finance and Insurance,65792
Information,86030
Finance and Insurance,93100
Health Care and Social Assistance,52125
Information,94420
Finance and Insurance,102340
Finance and Insurance,102340
Finance and Insurance,102340
Finance and Insurance,92114
Finance and Insurance,109130
Health Care and Social Assistance,67346
Health Care and Social Assistance,42037
Finance and Insurance,141440
Health Care and Social Assistance,40810
Information,111480
Information,70000
Finance and Insurance,89600
Health Care and Social Assistance,200800
Finance and Insurance,147120
Finance and Insurance,147120
Health Care and Social Assistance,48158
Finance and Insurance,88000
Finance and Insurance,68640
Finance and Insurance,70200
Finance and Insurance,52000
Finance and Insurance,72800
Finance and Insurance,93100
Finance and Insurance,121770
Finance and Insurance,121770
Information,93400
Finance and Insurance,121770
Finance and Insurance,122100
Information,70867
Finance and Insurance,57000
Information,62400
Finance and Insurance,89990
Finance and Insurance,46000
Finance and Insurance,100500
Finance and Insurance,100500
Finance and Insurance,91100
Finance and Insurance,91100
Finance and Insurance,60000
Finance and Insurance,68640
Information,160000
Information,97000
Information,94869
Information,60900
Health Care and Social Assistance,65000
Information,115970
Finance and Insurance,64685
Finance and Insurance,83000
Finance and Insurance,48000
Information,87166
Finance and Insurance,116334
Information,87166
Information,87166
Finance and Insurance,74000
Finance and Insurance,70000
Finance and Insurance,165000
Finance and Insurance,116280
Finance and Insurance,95000
Finance and Insurance,65000
Information,120100
Health Care and Social Assistance,100000
Finance and Insurance,90300
Finance and Insurance,141440
Finance and Insurance,117800
Health Care and Social Assistance,65000
Information,163000
Finance and Insurance,95000
Finance and Insurance,78800
Information,65000
Finance and Insurance,88000
Information,65000
Information,65000
Information,65000
Finance and Insurance,170000
Finance and Insurance,131498
Finance and Insurance,87360
Finance and Insurance,70200
Finance and Insurance,130000
Finance and Insurance,20800
