NAICS2_NAME,SKILL,skill_count
Finance and Insurance,"\"Tax Consulting\"",18
Finance and Insurance,"\"SonarQube\"",3
Finance and Insurance,"\"Agile Project Management\"",20
Finance and Insurance,"\"Comprehensive Capital Analysis And Review (CCAR)\"",13
Health Care and Social Assistance,"\"Memos\"",9
Health Care and Social Assistance,"\"Concept Of Operations\"",2
Information,"\"Emergency Departments\"",2
Health Care and Social Assistance,"\"Spotfire (Data Analytics Software)\"",16
Information,"\"Public Service\"",7
Health Care and Social Assistance,"\"Software As A Service (SaaS)\"",25
Health Care and Social Assistance,"\"Systems Architecture\"
]",9
Information,"\"Reputation Management\"",2
Information,"\"Speech Recognition\"",1
Finance and Insurance,"\"Commercial Real Estate\"",5
Information,"\"Entity Relationship Models\"",8
Information,"\"CyberArk\"",6
Health Care and Social Assistance,"\"Business Informatics\"",3
Health Care and Social Assistance,"\"IdentityIQ\"",6
Health Care and Social Assistance,"\"Scikit-Learn (Python Package)\"",1
Information,"\"Data Virtualization\"",2
Finance and Insurance,"\"Access Control List\"",2
Finance and Insurance,"\"Record to Report (R2R)\"",3
Health Care and Social Assistance,"\"People Services\"",2
Finance and Insurance,"\"Adobe Photoshop\"",3
Finance and Insurance,"\"Actuarial Exams\"",18
Finance and Insurance,"\"Data Recording\"",4
Finance and Insurance,"[
  \"Application Packaging\"",1
Information,"[
  \"TypeScript\"",2
Finance and Insurance,"[
  \"Oracle Procurement\"",2
Health Care and Social Assistance,"\"Community Development\"",7
Information,"\"Prometheus (Software)\"",4
Information,"\"Category Analytics\"",1
Information,"\"Transcribing\"
]",1
Finance and Insurance,"\"Salesforce Certified Data Architecture And Management Designer\"",1
Health Care and Social Assistance,"\"SAP Concur (Travel And Invoice Software)\"",1
Health Care and Social Assistance,"[
  \"Palliative Care\"",1
Health Care and Social Assistance,"\"Human Resource Strategy\"",1
Finance and Insurance,"\"HP Servers\"",1
Health Care and Social Assistance,"\"Business Performance Management\"",2
Finance and Insurance,"\"Distributed Temperature Sensing (DTS)\"",1
Health Care and Social Assistance,"[
  \"Autism Spectrum Disorders\"",1
Health Care and Social Assistance,"\"Federal Enterprise Architecture\"",4
Finance and Insurance,"[
  \"Amazon API Gateway\"",1
Finance and Insurance,"[
  \"Business Intelligence\"",1
Health Care and Social Assistance,"\"Web Search Query\"",1
Information,"[
  \"Asana\"",4
Finance and Insurance,"[
  \"Customer Service\"
]",2
Finance and Insurance,"\"Failover Testing\"",1
Information,"\"Business Intelligence Data Modeling\"",1
Finance and Insurance,"\"Software Coding\"",3
Information,"[
  \"Podcasting\"",1
Health Care and Social Assistance,"\"Hardware Design\"",2
Finance and Insurance,"\"Price Analysis\"",2
Health Care and Social Assistance,"\"Imagination\"",2
Finance and Insurance,"\"Brand Management\"",1
Finance and Insurance,"\"Business Intelligence Development Studio\"",1
Health Care and Social Assistance,"\"Virtual Teams\"
]",1
Finance and Insurance,"\"Business Analysis\"",611
Finance and Insurance,"\"Data Management\"",1171
Finance and Insurance,"\"Ad Hoc Reporting\"",276
Finance and Insurance,"\"Business Intelligence Reporting\"",67
Finance and Insurance,"\"Application Performance Management\"",67
Information,"\"Testability\"",5
Finance and Insurance,"\"Service Improvement\"",15
Finance and Insurance,"\"Kanban Principles\"",30
Health Care and Social Assistance,"\"Looker Analytics\"",21
Information,"\"Recovery Manager (RMAN)\"",2
Information,"\"Information Governance\"",5
Finance and Insurance,"\"Usability Testing\"",14
Health Care and Social Assistance,"\"IT Security Architecture\"",15
Finance and Insurance,"\"Information Technology Operations\"",32
Finance and Insurance,"\"Mitigating Control\"",10
Finance and Insurance,"\"Command-Line Interface\"",4
Information,"\"Policy Development\"",14
Finance and Insurance,"\"Performance Testing\"",13
Information,"\"Data Discovery\"",56
Finance and Insurance,"\"Secure Application Development\"",1
Information,"\"Requirements Management\"",16
Finance and Insurance,"\"Pretty Good Privacy (PGP)\"",2
Health Care and Social Assistance,"\"Telecommunications Service\"",1
Health Care and Social Assistance,"\"IBM Cognos Business Intelligence\"",8
Finance and Insurance,"\"Market Intelligence\"",13
Health Care and Social Assistance,"\"Product Knowledge\"",14
Information,"\"Transportation Planning\"",4
Finance and Insurance,"\"Supply Management\"",1
Information,"\"AWS Certified Solutions Architect Professional\"",3
Health Care and Social Assistance,"\"Medical Writing\"",1
Health Care and Social Assistance,"\"Systems Engineering\"",10
Health Care and Social Assistance,"\"Medical Records Review\"",7
Information,"\"Data Strategy\"
]",11
Health Care and Social Assistance,"\"Budget Analysis\"",2
Health Care and Social Assistance,"\"Raiser's Edge NXT\"",11
Information,"\"Project Scoping\"",32
Finance and Insurance,"\"Sisense\"",2
Health Care and Social Assistance,"\"Matrix Management\"",3
Finance and Insurance,"\"IT Governance\"",17
Finance and Insurance,"\"Trust Administration\"",1
Finance and Insurance,"\"Accruals\"",4
Health Care and Social Assistance,"\"Distributed Temperature Sensing (DTS)\"",2
Finance and Insurance,"\"Product Planning\"
]",1
Finance and Insurance,"\"Nurse Practitioner (APRN-CNP)\"",1
Information,"\"Cross-Selling\"",5
Information,"\"Surgery\"",2
Finance and Insurance,"\"Developing Training Materials\"",5
Health Care and Social Assistance,"\"Human Capital Management (HCM)\"",12
Health Care and Social Assistance,"\"Healthcare Reforms\"",4
Health Care and Social Assistance,"\"Long-Term Care\"",1
Health Care and Social Assistance,"\"PySpark\"",2
Finance and Insurance,"\"Training Analysis\"",3
Information,"\"Guidewire Core\"",2
Information,"\"Jersey (Java Framework)\"",2
Health Care and Social Assistance,"\"Apache Struts\"",1
Finance and Insurance,"[
  \"Relational Database Management Systems\"",2
Information,"\"Venture Capital\"",4
Finance and Insurance,"\"SAP Project System\"",1
Finance and Insurance,"\"Document Review\"",2
Health Care and Social Assistance,"\"Site Planning\"",1
Health Care and Social Assistance,"\"Prospect Research\"
]",1
Health Care and Social Assistance,"\"Hospital Information Systems\"
]",1
Health Care and Social Assistance,"\"Dementia\"",1
Health Care and Social Assistance,"\"Filing\"
]",1
Finance and Insurance,"\"Automatic Call Distributor\"",1
Finance and Insurance,"\"Employers Liability\"
]",1
Finance and Insurance,"\"Barcoding\"",1
Health Care and Social Assistance,"\"IBM Certified Specialist\"",2
Health Care and Social Assistance,"\"Defense In Depth\"",2
Finance and Insurance,"\"Slack (Software)\"",2
Finance and Insurance,"\"Java Virtual Machine (JVM)\"",2
Information,"\"Salesforce Certified Technical Architect\"",1
Information,"\"Code Editor\"",1
Finance and Insurance,"\"Cellular Data Communication Protocols\"
]",1
Health Care and Social Assistance,"\"Calendar Management\"
]",1
Finance and Insurance,"\"Risk Aggregation\"",1
Finance and Insurance,"[
  \"Workday (Software)\"",1
Finance and Insurance,"\"Feature Engineering\"",46
Finance and Insurance,"\"Information Sciences\"",30
Finance and Insurance,"\"Billing\"",55
Finance and Insurance,"\"Business Requirements Documentation\"",95
Finance and Insurance,"\"Cloud-Native Applications\"",19
Information,"\"Mentorship\"",224
Information,"\"MicroStrategy\"",43
Health Care and Social Assistance,"\"Medical Terminology\"",106
Information,"\"Cloud Computing Architecture\"",86
Information,"\"IT Security Architecture\"",63
Information,"\"OAuth\"",24
Health Care and Social Assistance,"[
  \"Stata\"",40
Finance and Insurance,"\"Newsletters\"",34
Information,"[
  \"Prioritization\"",7
Finance and Insurance,"\"Relational Database Design\"",10
Information,"\"Spanish Language\"",12
Information,"\"Reference Books\"",2
Information,"\"Enterprise Sales\"",7
Finance and Insurance,"\"Multilingualism\"",13
Health Care and Social Assistance,"\"React.js (Javascript Library)\"",4
Health Care and Social Assistance,"\"Cyber Threat Intelligence\"",1
Finance and Insurance,"\"Database Design\"
]",8
Information,"\"Identity And Access Management\"",40
Information,"\"Research And Development\"",3
Health Care and Social Assistance,"\"Business Objectives\"",32
Finance and Insurance,"\"Azure Data Lake\"",3
Health Care and Social Assistance,"\"Automotive Service Excellence (ASE) Certification\"
]",1
Information,"[
  \"Technical Acumen\"",4
Health Care and Social Assistance,"[
  \"Pharmacy Operations\"",5
Health Care and Social Assistance,"\"Financial Modeling\"",61
Finance and Insurance,"\"Performance Analysis\"",1
Finance and Insurance,"\"Information Security Management\"",8
Health Care and Social Assistance,"\"BigQuery\"",7
Finance and Insurance,"[
  \"Emotional Intelligence\"",1
Finance and Insurance,"\"Salesforce Datorama\"",4
Information,"\"SAP Certification\"
]",4
Finance and Insurance,"\"Proprietary Software\"",2
Health Care and Social Assistance,"[
  \"Financial Planning\"",3
Finance and Insurance,"\"Content Design\"",3
Finance and Insurance,"\"Look And Feel\"",3
Finance and Insurance,"\"Hedge Funds\"",1
Finance and Insurance,"\"Missing Data\"",3
Health Care and Social Assistance,"\"Dealing With Ambiguity\"",4
Health Care and Social Assistance,"\"Annual Reports\"",4
Information,"\"Employee Retention\"",8
Health Care and Social Assistance,"\"Program Standards\"",5
Finance and Insurance,"\"Student Learning Outcomes\"
]",3
Information,"[
  \"Software Testing\"",1
Health Care and Social Assistance,"\"Parsing\"",1
Finance and Insurance,"\"Application Servers\"",11
Information,"\"Business Development Company (BDC)\"",2
Finance and Insurance,"\"Revenue Accounting\"
]",2
Information,"\"Structural Equation Modeling\"",1
Information,"\"Dialog Programming\"",1
Finance and Insurance,"\"Computational Modeling\"",1
Health Care and Social Assistance,"\"Data Domain\"",3
Finance and Insurance,"\"Apache Pig\"",7
Finance and Insurance,"\"Instructional Design\"",3
Health Care and Social Assistance,"[
  \"Performance Analysis\"",5
Information,"\"Organizational Development\"",1
Health Care and Social Assistance,"\"Microsoft Publisher\"",2
Information,"\"Look And Feel\"
]",2
Finance and Insurance,"\"Fund Administration\"",3
Finance and Insurance,"\"Syncsort\"",1
Information,"\"British Ministry Of Defence Architecture Framework (MODAF)\"",1
Health Care and Social Assistance,"\"General Fund Enterprise Business Systems (GFEBS)\"",1
Information,"\"Compliance Training\"",2
Health Care and Social Assistance,"\"Biomanufacturing\"",2
Information,"\"Healthcare Marketing\"",1
Finance and Insurance,"\"Development Aid\"
]",1
Finance and Insurance,"\"Java Application Server\"",1
Information,"\"Ipro eCapture (eDiscovery Software)\"",1
Information,"[
  \"Data Science\"",1
Information,"\"Bash (Scripting Language)\"",68
Finance and Insurance,"\"Resourcefulness\"",91
Finance and Insurance,"\"Business Metrics\"",246
Information,"\"Authorization (Computing)\"",35
Information,"\"Data Warehousing\"",641
Information,"[
  \"Debugging\"",31
Finance and Insurance,"\"Data Profiling\"",243
Health Care and Social Assistance,"\"Tableau (Business Intelligence Software)\"
]",139
Information,"\"Google Workspace\"",12
Finance and Insurance,"\"New Product Development\"
]",67
Information,"\"Advanced Analytics\"",66
Health Care and Social Assistance,"\"Cooperation\"",12
Information,"[
  \"Technology Solutions\"",1
Health Care and Social Assistance,"\"Lease Accounting\"",23
Health Care and Social Assistance,"\"Medicaid Managed Care\"",9
Finance and Insurance,"\"Partner Relationship Management\"",1
Finance and Insurance,"\"Cyber Resilience\"",3
Information,"\"SAP S/4HANA\"",13
Health Care and Social Assistance,"\"Business Acumen\"",30
Finance and Insurance,"\"Drools\"",5
Health Care and Social Assistance,"\"Vision Development\"",3
Finance and Insurance,"\"Integrated Architecture Framework\"",18
Finance and Insurance,"\"Registered Nurse (RN)\"",46
Health Care and Social Assistance,"\"Database Storage Structures\"",27
Information,"\"Front End (Software Engineering)\"",25
Finance and Insurance,"[
  \"Thought Leadership\"",28
Finance and Insurance,"\"SAP NetWeaver Data Management\"",3
Information,"\"Event Tracking\"",1
Information,"\"Urgent Care\"",4
Health Care and Social Assistance,"\"Accounting Software\"",5
Information,"\"Digital Architecture\"",2
Finance and Insurance,"\"Analytics\"
]",2
Finance and Insurance,"[
  \"Process Architecture\"",6
Finance and Insurance,"\"Data Manipulation Language\"",7
Finance and Insurance,"\"Vision Development\"
]",4
Health Care and Social Assistance,"\"RESTful API\"
]",1
Finance and Insurance,"\"Communication Strategies\"
]",1
Information,"\"GIAC Certifications\"",6
Finance and Insurance,"\"Loan Processing\"",4
Information,"\"Statsmodels\"",2
Information,"\"Structured Analysis\"
]",2
Health Care and Social Assistance,"\"Product Certification\"",2
Health Care and Social Assistance,"\"Data Migration\"
]",2
Health Care and Social Assistance,"\"Lean Certification\"",4
Finance and Insurance,"\"Marketing Materials\"
]",2
Information,"\"Ixia (Network Tools)\"",1
Finance and Insurance,"\"Dependency Analysis\"",2
Health Care and Social Assistance,"\"SAS (Software)\"
]",2
Information,"\"Tax Compliance\"",2
Health Care and Social Assistance,"\"Proofreading\"",11
Health Care and Social Assistance,"\"Dayforce (HCM Software)\"",5
Health Care and Social Assistance,"\"Industrial Engineering\"",9
Information,"\"Finance Automation\"",1
Information,"\"Business Relationship Management\"",9
Health Care and Social Assistance,"\"Oracle Hyperion\"",9
Information,"\"Backlogs\"",4
Health Care and Social Assistance,"\"Reputation Management\"
]",2
Information,"[
  \"Network Troubleshooting\"",3
Finance and Insurance,"[
  \"Marketing Strategies\"",13
Health Care and Social Assistance,"\"Valid Driver's License\"
]",1
Finance and Insurance,"[
  \"Java XML\"",1
Health Care and Social Assistance,"\"Board Certified/Board Eligible\"",1
Health Care and Social Assistance,"\"Data Centers\"",2
Finance and Insurance,"[
  \"Frequency Distribution\"",1
Information,"[
  \"IT Capacity Management\"",2
Finance and Insurance,"\"Threat Detection\"",1
Health Care and Social Assistance,"\"Pull/Merge Requests\"",1
Information,"[
  \"Tokenization\"",1
Finance and Insurance,"\"Wealth Management\"
]",1
Health Care and Social Assistance,"\"Certified Registered Nurse Anesthetist (CRNA)\"",2
Finance and Insurance,"\"Management\"",3009
Health Care and Social Assistance,"[
  \"Information Technology\"",36
Finance and Insurance,"\"Microsoft SharePoint\"",127
Finance and Insurance,"[
  \"Communication\"",125
Finance and Insurance,"\"Agile Certification\"",15
Finance and Insurance,"\"Product Management\"",203
Health Care and Social Assistance,"\"Technical Support\"",125
Finance and Insurance,"[
  \"Information Technology\"",66
Finance and Insurance,"\"Firewall\"",16
Finance and Insurance,"\"Perl (Programming Language)\"",39
Information,"\"Promotional Strategies\"",4
Information,"\"Business Administration\"",86
Finance and Insurance,"\"Robotic Process Automation\"",54
Health Care and Social Assistance,"\"Spanish Language\"",9
Health Care and Social Assistance,"[
  \"Software Design\"",9
Information,"\"Pharmaceuticals\"
]",1
Health Care and Social Assistance,"\"ASP.NET Core MVC\"",1
Information,"\"Full Stack Development\"
]",1
Finance and Insurance,"\"Software Interfaces\"",8
Health Care and Social Assistance,"\"Marketing Communications\"",34
Finance and Insurance,"[
  \"Lending Products\"",2
Information,"[
  \"Data Preprocessing\"",4
Information,"\"Adobe Certification\"",22
Information,"\"Apple IOS\"",5
Finance and Insurance,"\"People Analytics\"",29
Finance and Insurance,"[
  \"Mortgage Loan Origination\"",6
Information,"\"Setting Appointments\"",4
Finance and Insurance,"\"Wide Area Networks\"",4
Information,"\"TypeScript\"",18
Finance and Insurance,"\"Figma (Design Software)\"",2
Finance and Insurance,"\"Project Resources\"",12
Finance and Insurance,"\"System Implementation\"
]",2
Health Care and Social Assistance,"\"Scalability Design\"",4
Information,"\"Ubuntu (Operating System)\"",2
Finance and Insurance,"\"Prompt Engineering\"",5
Finance and Insurance,"\"Business Planning\"
]",2
Finance and Insurance,"\"Public Affairs\"",2
Finance and Insurance,"\"Azure Security\"",4
Information,"\"Caregiving\"",1
Finance and Insurance,"\"Public Speaking\"",8
Finance and Insurance,"\"Elasticsearch\"",1
Health Care and Social Assistance,"\"Traceability Matrix\"",2
Information,"[
  \"Analytical Thinking\"",1
Finance and Insurance,"\"Medical Coding Certification\"",9
Information,"\"Account Analysis\"",9
Information,"\"Domain Model\"",2
Information,"\"JavaServer Faces\"",1
Finance and Insurance,"\"Sprint Planning\"
]",1
Health Care and Social Assistance,"\"Technical Standard\"",6
Finance and Insurance,"\"Force.Com\"
]",1
Finance and Insurance,"[
  \"Snowflake Schema\"",5
Finance and Insurance,"\"Payroll Tax\"",1
Health Care and Social Assistance,"\"FastAPI\"",2
Finance and Insurance,"\"Postman API Platform\"
]",2
Information,"\"Portfolio Investment\"",1
Finance and Insurance,"\"IBM Mainframe Utility Programs\"",1
Finance and Insurance,"\"Utility Functions\"
]",1
Health Care and Social Assistance,"[
  \"Syntax\"",2
Finance and Insurance,"\"Integrated Access Devices\"",2
Health Care and Social Assistance,"\"Patient Education And Counseling\"",2
Health Care and Social Assistance,"\"QlikView (Data Analytics Software)\"
]",2
Health Care and Social Assistance,"[
  \"Contract Analysis\"",2
Health Care and Social Assistance,"\"XPath\"",2
Information,"\"ASP.NET Core MVC\"",1
Health Care and Social Assistance,"\"Matillion\"",1
Health Care and Social Assistance,"\"Compliance Risk\"",1
Health Care and Social Assistance,"\"Sepsis\"",1
Health Care and Social Assistance,"\"Microsoft Certified Professional\"
]",1
Health Care and Social Assistance,"\"Linens\"",1
Information,"\"Enrollment Management\"",1
Finance and Insurance,"\"Questa Advanced Verification (Siemens EDA)\"",1
Finance and Insurance,"\"Big Data\"",290
Finance and Insurance,"\"RabbitMQ\"",25
Information,"\"Process Engineering\"",14
Finance and Insurance,"\"Branding\"",87
Finance and Insurance,"\"Business Objectives\"",124
Finance and Insurance,"\"Capability Development\"",7
Information,"\"Service Management\"",9
Finance and Insurance,"[
  \"Mitigation\"",24
Information,"\"Information Gathering\"",59
Information,"\"Milestones (Project Management)\"",52
Information,"\"Resource Allocation\"",29
Finance and Insurance,"\"PL/SQL\"",44
Health Care and Social Assistance,"\"Health Informatics\"",81
Finance and Insurance,"\"Certified Fraud Examiner\"",4
Finance and Insurance,"\"Healthcare Industry Knowledge\"
]",22
Health Care and Social Assistance,"\"Backup Devices\"",14
Information,"\"Analytical Techniques\"",17
Information,"\"Payment Processing\"",8
Finance and Insurance,"\"Procurement\"",51
Health Care and Social Assistance,"\"Logical Reasoning\"",2
Health Care and Social Assistance,"\"Domain Knowledge\"",62
Information,"\"Infographics\"",7
Health Care and Social Assistance,"\"Business English\"",1
Finance and Insurance,"\"VeraCode\"",2
Health Care and Social Assistance,"\"Anatomy\"",20
Health Care and Social Assistance,"\"SAP Certification\"",8
Finance and Insurance,"\"SolarWinds\"",15
Finance and Insurance,"\"Oracle Linux\"",2
Health Care and Social Assistance,"[
  \"Mental Health Act\"",2
Finance and Insurance,"\"FINRA Series 99 (Operations Professional)\"",2
Finance and Insurance,"\"API Testing\"",8
Information,"[
  \"Syndicated Finance\"",1
Finance and Insurance,"[
  \"Zoom (Video Conferencing Tool)\"",2
Finance and Insurance,"\"SAP FI\"",4
Information,"\"Content Delivery Networks\"",2
Health Care and Social Assistance,"\"Window Cleaning\"",2
Health Care and Social Assistance,"\"Video Conferencing\"",3
Information,"\"Real Time Payments\"",1
Finance and Insurance,"\"Cash Flows\"",3
Finance and Insurance,"\"Microsoft Windows NT\"",2
Health Care and Social Assistance,"\"Digital Technology\"",5
Health Care and Social Assistance,"[
  \"Diabetes Mellitus\"",3
Information,"\"Text Classification\"",1
Information,"\"Foreign Trade Zones\"",1
Health Care and Social Assistance,"[
  \"Personal Care\"",1
Finance and Insurance,"[
  \"Aggregation Analysis\"",2
Information,"[
  \"Total Return\"",1
Finance and Insurance,"\"Vendor Payments\"",2
Health Care and Social Assistance,"\"Speech Therapy\"",1
Health Care and Social Assistance,"\"Optometry\"",1
Finance and Insurance,"\"Public Finance\"",1
Health Care and Social Assistance,"[
  \"Bariatrics\"",1
Finance and Insurance,"\"Pharmaceutical Manufacturing\"",1
Information,"\"Agenda (Meeting)\"",3
Health Care and Social Assistance,"\"Business Intelligence Data Modeling\"",3
Health Care and Social Assistance,"\"Neonatal Intensive Care Unit\"",3
Information,"\"Information Sciences\"",2
Information,"\"SoapUI\"",1
Finance and Insurance,"\"Linux/GNU Certified Administrator\"",1
Information,"\"Cleaning Validation\"",1
Health Care and Social Assistance,"\"Epic Radar\"",1
Information,"\"Software As A Service (SaaS)\"
]",1
Finance and Insurance,"\"Brazing (Metal Work)\"",1
Finance and Insurance,"[
  \"Operating Systems\"",1
Health Care and Social Assistance,"\"Data Lakes\"",17
Finance and Insurance,"\"Business Valuation\"",324
Information,"\"Safety Assurance\"",85
Finance and Insurance,"\"The Open Group Architecture Framework (TOGAF)\"",196
Finance and Insurance,"\"Banking Services\"",30
Information,"\"Solution Deployment Descriptor\"",20
Health Care and Social Assistance,"\"Information Systems\"",448
Finance and Insurance,"\"Financial Services\"",1014
Information,"\"Proactivity\"",185
Finance and Insurance,"\"Knowledge Transfer\"",103
Information,"\"Regression Testing\"",11
Finance and Insurance,"\"Transportation Management Systems\"",4
Health Care and Social Assistance,"\"Behavioral Analytics\"",2
Information,"\"OpenAIR\"",16
Information,"\"Program Standards\"",2
Health Care and Social Assistance,"\"Unix Shell\"",3
Finance and Insurance,"\"Mailroom\"",1
Finance and Insurance,"\"Human Resources Information System (HRIS)\"",6
Finance and Insurance,"\"Financial Sales\"",3
Health Care and Social Assistance,"[
  \"ITIL Foundation Certification\"",7
Health Care and Social Assistance,"\"Information Management\"",49
Health Care and Social Assistance,"\"Training Documentation\"",8
Information,"\"Sign Language Interpretation\"",16
Finance and Insurance,"\"Internet Security\"",2
Information,"\"Technical Engineering\"",12
Information,"\"Demand Generation\"",12
Health Care and Social Assistance,"[
  \"Fundraising\"",2
Health Care and Social Assistance,"[
  \"Cardiopulmonary Resuscitation (CPR)\"",13
Finance and Insurance,"\"Database Marketing\"",9
Health Care and Social Assistance,"\"Individualized Instruction\"",3
Information,"\"Political Sciences\"",5
Information,"\"SAP BI Accelerator\"",1
Information,"\"Behavioral Science\"",8
Health Care and Social Assistance,"[
  \"Companionship\"",2
Finance and Insurance,"\"JSON\"
]",4
Finance and Insurance,"\"Business Rules Engines\"",3
Finance and Insurance,"\"Microsoft Windows\"",8
Health Care and Social Assistance,"[
  \"Analytical Procedures\"",2
Information,"\"Monolithic Software Architecture\"",2
Finance and Insurance,"\"Peer-To-Peer\"
]",4
Finance and Insurance,"\"Proposal Writing\"",1
Finance and Insurance,"\"Digital Product Management\"",8
Information,"\"Management By Exception\"",2
Information,"\"Human Interface Guidelines\"",3
Health Care and Social Assistance,"\"Recreational Therapy\"",2
Information,"\"Microsoft Certified: Azure Security Engineer Associate\"",1
Health Care and Social Assistance,"\"Adult Education\"
]",1
Health Care and Social Assistance,"\"Revolving Fund\"",1
Information,"\"Scaled Agile Framework\"",1
Information,"\"Winshuttle (RPA Software)\"",1
Health Care and Social Assistance,"\"Data Control\"",2
Information,"\"Intelligent Automation\"",3
Health Care and Social Assistance,"\"Anesthesiology\"",1
Information,"\"Strategic Management\"",2
Health Care and Social Assistance,"\"Endocrinology\"",1
Information,"\"Data Center Design\"",1
Information,"\"Project Sponsorship\"",1
Finance and Insurance,"\"Plastic Materials\"",1
Information,"\"Market Liquidity\"",1
Information,"\"Trade Marketing\"",1
Health Care and Social Assistance,"\"User Accounts\"",5
Finance and Insurance,"\"Business Administration\"",447
Finance and Insurance,"\"Time Series Analysis And Forecasting\"",30
Health Care and Social Assistance,"\"Customer Success Management\"",45
Finance and Insurance,"\"Mental Concentration\"",4
Health Care and Social Assistance,"\"Coordinating\"",291
Finance and Insurance,"\"Electromyography\"",56
Information,"\"Functional Specification\"",60
Health Care and Social Assistance,"\"Mental Health Act\"",6
Finance and Insurance,"\"Bootstrap (Front-End Framework)\"",1
Health Care and Social Assistance,"\"Google Colaboratory\"",1
Finance and Insurance,"\"Computer Programming\"",14
Finance and Insurance,"[
  \"Six Sigma Methodology\"",27
Finance and Insurance,"\"Technological Transitions\"",3
Health Care and Social Assistance,"\"Code Migration\"",1
Information,"\"AWS Lambda\"",8
Information,"\"Object-Oriented Programming (OOP)\"",36
Finance and Insurance,"\"Catastrophe Modeling\"",4
Information,"\"DataOps\"
]",33
Health Care and Social Assistance,"\"Data Discovery\"",11
Health Care and Social Assistance,"\"Manufacturing Automation\"",1
Finance and Insurance,"\"Workday (Software)\"",50
Finance and Insurance,"[
  \"Atlassian Bamboo\"",1
Information,"\"Intelligence Analysis\"",7
Finance and Insurance,"\"Authentications\"
]",2
Information,"\"Music Publishing\"",6
Information,"\"Threat Detection\"",6
Finance and Insurance,"\"Regulatory Requirements\"
]",7
Finance and Insurance,"\"OptumInsight\"",9
Information,"\"Export Control\"",5
Finance and Insurance,"\"Stocks (Inventory)\"",6
Finance and Insurance,"\"Federal Information Processing Standards (FIPS)\"",2
Finance and Insurance,"\"Contingency Planning\"",3
Finance and Insurance,"[
  \"Speech Analytics\"",1
Finance and Insurance,"[
  \"Data Mining\"",2
Information,"\"Amazon Web Services\"
]",2
Information,"\"Traffic Flow\"",1
Health Care and Social Assistance,"\"Use Case Analysis\"",3
Finance and Insurance,"\"BlackLine (Accounting Software)\"",2
Information,"\"Supplier Identification And Selection\"",1
Finance and Insurance,"\"Simple Object Access Protocol (SOAP)\"",10
Health Care and Social Assistance,"[
  \"Microsoft Certified IT Professional\"",1
Health Care and Social Assistance,"\"Microsoft Certified Technology Specialist\"
]",1
Health Care and Social Assistance,"[
  \"File Management\"",1
Finance and Insurance,"\"Digital Design\"
]",3
Health Care and Social Assistance,"\"Groovy (Programming Language)\"",1
Health Care and Social Assistance,"[
  \"Behavior Management\"",2
Health Care and Social Assistance,"\"Information Architecture\"
]",4
Finance and Insurance,"[
  \"Privacy Impact Assessments\"",1
Health Care and Social Assistance,"\"International Finance\"",1
Health Care and Social Assistance,"\"Loading And Unloading\"",2
Information,"\"Palletizing\"",2
Finance and Insurance,"\"Industry Standards\"
]",2
Information,"\"Problem Management\"
]",1
Health Care and Social Assistance,"\"Interpersonal Communications\"
]",1
Information,"\"Cloud Collaboration\"",1
Finance and Insurance,"\"Design Leadership\"",1
Health Care and Social Assistance,"\"Parallel Processing\"",4
Finance and Insurance,"\"Certified Financial Planner\"",2
Information,"\"Interviewing Skills\"",1
Information,"\"Kinaxis (Software)\"",1
Information,"\"Primary Research\"",1
Finance and Insurance,"\"Sub-Acute Care\"",1
Health Care and Social Assistance,"\"Critical Thinking\"
]",1
Information,"\"Hospital Information Systems\"",1
Health Care and Social Assistance,"\"Machine Readable Files\"",1
Finance and Insurance,"\"New Business Development\"",1
Information,"\"Audio Signal Processing\"",1
Finance and Insurance,"\"Time Series\"",31
Information,"\"Planning\"",353
Finance and Insurance,"\"Variance Reporting\"",3
Finance and Insurance,"[
  \"Customer Service\"",343
Health Care and Social Assistance,"\"Billing\"",112
Health Care and Social Assistance,"\"Quantitative Research\"",26
Information,"\"Workforce Planning\"",11
Information,"\"Organizational Effectiveness\"",11
Information,"\"Functional Requirement\"",97
Finance and Insurance,"[
  \"Application Data\"",90
Finance and Insurance,"\"SAP ERP\"",25
Information,"[
  \"MuleSoft\"",7
Finance and Insurance,"\"Sorting\"",39
Health Care and Social Assistance,"\"User Research\"",2
Finance and Insurance,"\"Leadership Development\"",20
Health Care and Social Assistance,"[
  \"Child Welfare\"",5
Finance and Insurance,"\"Asset Management\"
]",1
Finance and Insurance,"\"Sqoop\"",9
Finance and Insurance,"\"Team Performance Management\"",23
Information,"\"Markup Languages\"",2
Finance and Insurance,"\"Azure Pipelines\"",3
Health Care and Social Assistance,"\"Security Implementation\"",1
Information,"\"Ansi Sql\"",2
Finance and Insurance,"\"General Ledger Reconciliation\"",3
Finance and Insurance,"[
  \"Functional Requirement\"",6
Finance and Insurance,"[
  \"Business Continuity Planning\"",4
Finance and Insurance,"\"Auditor's Report\"
]",45
Finance and Insurance,"[
  \"Systems Engineering\"",5
Health Care and Social Assistance,"\"Data Normalization\"",12
Finance and Insurance,"\"Current Expected Credit Losses (CECL)\"",16
Finance and Insurance,"\"Financial Tracking\"",2
Health Care and Social Assistance,"\"Data Maintenance\"",24
Health Care and Social Assistance,"\"Positivity\"",40
Finance and Insurance,"\"Medical Terminology\"",10
Information,"\"Cloud Database\"",12
